Question,Answer
Why is the Diploma of Nursing changing?,"In late 2020, the federal Government announced changes to the current national health training package. As a result, Vocational Education and Training (VET) providers across Australia are now required to update their courses to implement these changes, including Swinburne Online. This is in effort to enhance VET qualifications and ensure students are developing the skills that employers require in the future."
Why is Swinburne Online a good study option during isolation?,"The courses we offer have been designed specifically for online consumption. You’ll study in a purpose-built virtual classroom with extended hours of support, allowing you to study whenever you like. With over 10,000 students currently studying with us, you can rest assured that our online study has been tried, tested and approved by many. All you need is an internet connection."
Who can I contact for support during my studies?,"Your academic and student support teams are here to assist you with different aspects of your studies. Your Vocation Learning Advisor (VLA) is your go-to person to help you through your learning journey. Your VLA is extremely experienced, is a Registered Nurse and a qualified Training and Assessor. You will also have Student Advisors available seven days a week to assist with any general queries you may have, including those about your enrolment details, placements, exams and academic performance."
Who can help me put together a study plan for my course?,"Our Course Consultants are always happy to recommend a study load and specific units for you to start off with based on your needs before you begin your degree with us. Once you are enrolled, you can contact one of our Student Advisors at any time and they can help you set yourself up with a study plan designed to maximise your success."
Who can help me if I am having technological difficulties?,"When completing your degree, there is a vast amount of technical support at your disposal, both on our website and through our support team. If you can’t find what you need on our Student Portal Technical Support section then get in touch with one of our Student Advisors on 1300 937 765 from Australia, +61 3 9956 0777 for Australian citizens living overseas and 800 8001 1222 for international students, anytime between 9am–9pm (AEST) Monday to Friday and 10am–6pm (AEST) on weekends and public holidays."
Which units should I start with?,"When you enrol to study a degree with us, you will nominate how many units you would like to select per teaching period, based on a recommendation from one of our Course Consultants. From here, our enrolments team will allocate you automatically to the units they feel will be best suited to your needs, so you don’t need to worry about choosing units. If you want to choose something different than what you are allocated to, that is no problem, just get in touch with our Student Advisors and they will take care of it for you."
Which units can I take as electives?,"Students are free to choose their elective units from any degree, as long as the unit doesn’t have a pre-requisite requirement that the student hasn’t met."
Where can I study online from?,"Swinburne Online takes domestic students for both degrees and TAFE diplomas from anywhere in Australia. International students are also accepted for our degrees, although some differences to their payment processes will apply."
Where can I go for career advice?,"Our Centre for Career Development is a one-stop shop for students looking for career advice and guidance. You’ll not only get assistance with career planning, you’ll also receive advice and discover avenues to develop experience and skills outside university – all giving you the advantage in the job application process. And once you’ve entered the job market, you will still be able to get in touch with the Centre for advice on how to further develop your career into the future. For more information visit our Centre for Career Development page."
Where can I get important information about the VET Student Loan Program?,"You must read the VET Student Loans Information Booklet before applying for a loan. A VET student loan results in a HELP debt that continues to be a debt due to the government until it is repaid. You will start repaying the loan when you reach the minimum repayment threshold. The rate at which you repay the loan is based on your income, as you earn more you will repay a higher percentage of your taxable income towards your loan. Check the Study Assist website to find out more. We encourage you to seek independent financial advice to be sure a VET Student Loan is right for you."
Where can I get English language support?,"As a Swinburne student studying online you have access to Studiosity, an independent tutoring service that offers constructive essay feedback in less than 24 hours. Submit your draft essay or report to get expert feedback on academic writing, structure, flow and use of research to help develop your English language skills."
Where can I get assessment support?,"Aside from the Student Advisors, we offer independent assessment feedback via Studiosity. Studiosity is an online tutoring service that offers constructive essay feedback in less than 24 hours. Submit your draft essay or report to get expert feedback on academic writing, structure, flow and use of research. If you’re enrolled in a VET course you will access assessment support in Canvas – your online learning environment. A dynamic live chat means you can find out who else is online at the same time as you and ask other students questions. There is also a discussion board where you can post questions that will be answered by a pool of industry trained teachers, waiting to help you."
Where can I find out more about VET Student Loans?,More information is available at VET Student Loans.
Where are Swinburne Online’s exam centres located?,"Exams are held in Australian capital cities or regional centres based on the number of candidates in that location. Venues within these cities will be selected based on their central location and proximity to public transport. Some capital cities may not be established as examination centres due to low candidate numbers. For more information, view our website."
When will Swinburne Online be releasing the new Diploma of Nursing?,ANMAC (Australian Nursing and Midwifery Accreditation Council) are reviewing submissions to teach the new course packaging. This is likely to be in place in early 2022.
When is the cut-off date for enrolment?,"If you are applying to study a degree at Swinburne Online, enrolments close approximately 10 days before the start of each teaching period. Our teaching periods run three times a year, from March to June, July to October and November to February. For TAFE students, you can enrol at any time and begin your self-paced studies at a variety of start dates that suit you. For full details about start dates, visit our key dates page."
What’s changing in the Diploma of Nursing?,"The learning outcomes will remain the same, with students gaining a nationally recognised qualification. The changes follow industry review and aim to better align student outcomes: To current and evolving best-practice To support learners in an increasingly digital environment. The regulatory bodies review and update these courses every five years to ensure students can: Keep pace with rapidly changing industry needs Respond to future skills Reflect industry practice."
What sort of career prospects do I have with an online qualification?,"As a graduate of Swinburne Online, you receive the same accredited qualification as an on-campus student, meaning you have the same skills and knowledge as them. This means with an online degree you have the same career prospects as an on-campus graduate of Swinburne University of Technology, which is in the top 3% of universities worldwide. TAFE study is designed to give you the skills you need to help take your career to the next level. A Swinburne Online TAFE qualification builds upon your industry experience, and gives you the formal skills and knowledge needed to take on a more senior role or change careers. For more information read how you can Advance your Career."
What resources are available to alumni once they have graduated?,"Swinburne University of Technology provides its alumni the following benefits and services: networking events with alumni both in Australia and around the world, continued access to career support, discounted professional development programs, notifications of new courses, qualifications and scholarships and access to commercial discounts and special offers. To find out more ways that you can stay connected with Swinburne alumni and their networking programs, visit our Alumni Resources page."
What level of English language proficiency do I need to study an undergraduate degree at Swinburne Online?,It is expected that applicants have proficient English skills. We recommend the below levels in an English language test such as IELTS or TOEFL to ensure you are successful at university study: For paper-based TOEFL tests a score of 550 with a written English score of 5 For Internet-based TOEFL tests a score of 79 with no band below 18. International English Language Test System (IELTS) course specifications: Undergraduate Business courses require an IELTS score of 6 with no band below 6 Undergraduate Media and Communication courses require an IELTS score of 6 with no band below 6 Undergraduate Social Science requires an IELTS score of 6 with no band below 6 Undergraduate Psychological Sciences requires an IELTS score of 6.5 with no band below 6 Undergraduate Education requires an IELTS score of 6.5 with no band below 6 Further information on English requirements
What level of English language proficiency do I need to study a Masters at Swinburne Online?,"It is expected that applicants have proficient English skills. You should have a bachelor degree or equivalent (at least three years) studied in English, or have completed year 12 English in Australia. You must meet the below levels in an English language test such as IELTS, ISLPR or PEAT to ensure you are successful: Achievement in the International Second Language Proficiency Rating (ISLPR) of Level 4 in all four areas of speaking, listening, reading, writing from an approved testing site. Achievement of a score A in all four areas of speaking, listening, reading, and writing in the Professional English Assessment for Teachers (PEAT) test. International English Language Test System (IELTS) course specifications: Master of Professional Accounting requires IELTS 6.5 no band below 6 Master of Business Administration (MBA) requires IELTS 6.5 no band below 6 Masters of Teaching requires IELTS of 7.5 and the following scores for each component Speaking 8.0, Listening 8.0, Reading 7.0, Writing 7.0"
What kind of support do you offer to your online students?,"We have a whole variety of support options available to students seven days a week, so no one is ever left feeling alone. For students studying a degree with us, your small online class of 20–24 students is run by a dedicated online tutor (eLearning Advisor), who will always be happy to respond to your questions. Our Student Advisors (SAs) are a team of academic/technical and administrative specialists who can be contacted seven days a week. They can help with issues from advice on assignments to problems with logging in to the Student Hub. We also have online assessment support options that will cater to a range of academic needs. To find out more about our university support options, visit the student support page on our website."
What is VET?,"Vocational Education and Training (VET) is focused on providing students with specific job related and technical skills. Qualifications include certificates, diplomas, and advanced diplomas and take less time to complete than a university degree. Nationally recognized VET qualifications cover a wide range of industries, from business and management to trades, retail, and hospitality."
What is Undergraduate Study?,"Undergraduate study is a term used to describe formal, accredited tertiary education achievements. Studied at a university, higher education institution, or college, an undergraduate degree will usually be your first university degree, such as a bachelor degree, and will take between three and four years of full-time study (or part-time equivalent) to complete."
What is the Tableau Desktop Certified Specialist certification?,"The Tableau Desktop Certified Specialist certification is an industry-recognized qualification that demonstrates your comprehensive knowledge and abilities in Tableau application. This certification does not expire and does not need to be renewed. For more information, please visit the Tableau Desktop Certified Specialist Certification page."
What is the Student Amenities Help fee for and why do I have to pay it?,"Our students do have access to Swinburne’s campus facilities, including our libraries and this means they are required to pay a Student Amenities fee like all university students in Australia. For students who aren’t based in Victoria, we have an agreement with 34 institutions that our online students have access to. The program is called ULANZ and more information is available here: ULANZ website"
What is the relationship between Swinburne University of Technology and Swinburne Online?,"Swinburne Online was born out of a joint venture between SEEK.com.au and Swinburne University of Technology. We focus on providing you with industry-ready qualifications, from a university with over 100 years of history. Swinburne Online students receive the same qualification as students at Swinburne University of Technology, an internationally ranked university with 30,000 students across its Melbourne and overseas campuses."
What is the difference between a degree and a diploma?,"Offered by universities, TAFEs, Registered Training Organizations, and Community Education Centers, a diploma is a practical qualification, while a degree is typically offered by universities and encompasses more academic courses. For more information about the different qualifications, visit our Online Courses page."
What is TAFE?,"Technical and Further Education (TAFE) is the term used to describe certain state-administered education institutions. Such institutions provide Vocational Education and Training (VET) and qualifying courses under the National Training System, Australian Qualifications Framework, and Australian Quality Training Network. A Registered Training Organization (RTO) is an organization accredited by the Australian Skills Quality Authority (ASQA), which is the national regulator for Australia’s vocational education and training sector. ASQA regulates courses and training providers to ensure nationally approved quality standards are met."
What is Postgraduate Study?,Postgraduate study is a term generally used to describe tertiary education courses available to students who have already completed a bachelor degree or have significant relevant work experience. Postgraduate study takes the form of either coursework or research. Coursework consists of a program of academic study to achieve one or more of the following: Graduate Certificate Graduate Diploma Postgraduate Diploma Master by Coursework Professional Master Professional Doctorate Taking a research approach to postgraduate study entails conducting research and providing a thesis to earn a: Master by Research or Doctor of Philosophy (PhD).
What is online education?,"Online education utilizes breakthrough web technologies to deliver academic courses. When undertaking online study, students may use a range of tools such as webinars, videos, chat sessions, and e-texts to deliver content. Assessments can be undertaken synchronously or asynchronously. Synchronous learning refers to situations where online participation from a student is required at a certain time. This may involve a live discussion session with an online tutor or a presentation which is only available to be viewed at that time. Asynchronous learning involves study where the event is not in a live format, but it may still have a loose timeframe, for example: an assessment that will be accessible at any time over a weeklong period. Both of these learning styles are utilized to their optimum when studying with Swinburne Online."
What is Higher Education?,"Higher education encompasses Bachelor level degrees and above and is offered by universities. Whether you’re entering or re-entering the workforce, changing career paths or simply want to broaden your expertise, higher education will help you achieve your career goals with courses ranging from bachelor degrees, masters degrees, doctorates and more. Each course requires different commitments in terms of time, cost and pre-requisite or foundation study or experience."
What is HECS-HELP?,"The HECS‑HELP scheme can benefit an undergraduate domestic student (for example an Australian citizen studying a Bachelor degree at Swinburne Online) as a student loan. Instead of paying upfront, HECS-HELP is how eligible students can pay their student contribution amount."
What is Distance Education?,"Distance education (sometimes known as learning by correspondence) is a broad term that describes education delivered to a student who is in a separate location to the source of the academic content. This method of education has been around since the 1800s and in comparison with online education, which is offered by Swinburne Online, it is often viewed by professionals as outdated. The mode of delivery traditionally involves sending the course materials and assessments back and forth between the student and learning institution in hard copy. Many distance education programs require the student to attend classes or workshops on campus at some stage during the semester."
What is an Honours Degree?,"You can graduate with honours from a Bachelor Degree by undertaking an additional year of study, generally requiring you to complete a research project and submit a thesis, thereby positioning you for further research studies."
What is an e-Learning Advisor and how can I contact them?,"At Swinburne Online, each unit you study will be run by an online tutor with years of industry experience. The tutors are called e-Learning Advisors and they have been trained to teach specifically in an online environment. You can contact your e-Learning Advisor via the discussion boards in the student portal, or via email for a timely response."
What is a virtual classroom?,"For students studying a degree, a virtual classroom is the online space where your learning will take place. You’ll participate in interactive learning activities, access online reading, watch instructional videos and interact with your fellow students. Plus, class sizes are kept small so you get the personalised support you need."
What is a specialisation?,"A specialisation is a prescribed set of units within an area. Specialising in a second discipline, particularly one that complements your major, can complement your qualification and employment prospects. However, a specialisation is an area of interest not an accredited major."
What is a pre-requisite?,"A pre-requisite subject is a subject or sequence of subjects which must be completed before choosing a subsequent unit or course. For example, an undergraduate student cannot choose postgraduate units at Swinburne Online."
What is a PhD?,"A Doctor of Philosophy, or PhD, is a globally recognised qualification that’s considered the highest postgraduate achievement an individual can earn. To be awarded with a PhD, you must select a specific subject within your chosen field, carry out extensive and original research and submit a substantial thesis on your findings. Your thesis will be assessed by external examiners and will be judged on the quality of original research and contribution to the knowledge of the subject. You’ll be required to commit to three or four years of full-time study (or part-time equivalent) and will be supervised by academic staff members. Once you graduate, you’ll be eligible to teach in your chosen field at a university level or work in a specialised position."
What is a Masters Degree?,"A Masters Degree allows you to become a specialist in your chosen field. Typically students are required you to demonstrate a high-order overview of a specific field of study or area of professional practice. When you graduate, you’ll possess advanced knowledge of a specialised body of theoretical and applied topics, high order skills in analysis, critical evaluation, or professional application; and the ability to solve complex problems and think rigorously and independently. You will generally be required to undertake academic coursework and in some cases, preparation for professional practice."
What is a major unit?,"A major unit refers to what ‘specialisation’ you would like to focus on within your degree. For example, as a Bachelor of Business Administration student, you may wish to major in a specialisation area such as marketing. For current students, more information can be found in the Study Resources section of our Student Portal."
What is a Graduate Diploma?,"A Graduate Diploma will allow you to complete specialisation studies in a smaller amount of time and at a reduced cost of a Masters degree. Most of the time you will also have the option of transferring to a masters degree in the same topic. Once you complete your graduate diploma, you’ll have advanced knowledge and skills for professional, highly skilled work or further learning."
What is a Graduate Certificate?,"Completing a Graduate Certificate will help you upgrade your qualifications or give you advanced practical skills required in specialist industries. If you haven’t earned a bachelor degree, many programs may allow you entry provided you have sufficient relevant work experience in your chosen field. Graduate Certificates generally require a commitment of six months full-time study, or an equivalent part-time commitment."
What is a Grade Point Average (GPA)?,"A GPA is a calculation for higher education results. There are two GPA scales commonly used in Australia and overseas, the four-point and the seven-point scale. These scales differ in the grade points that they allocate to each grade but the method of calculation is the same. Swinburne uses a four-point method. To find out how to calculate a GPA visit our Grade Point Average page."
What is a good option for upskilling during this time?,"The best study option for you will depend on your current level of education, as well as the amount of available time you have to commit. For those looking to step up and earn a promotion or just upskill in general, a short course might be the best choice. A Graduate Certificate is also a good option for anyone looking to be educated over a short period of time. If you are unsure about what level of study or time commitment is best for you, utilize our Study Time Calculator or view our range of courses today."
What is a Double Degree?,"A double degree is a university degree where you study two single degrees at the same time, giving you the option of specializing in two different fields. To be eligible to enroll in a double degree, you must meet all the entry requirements of both degree programs. Even though you’ll be doubling your opportunities and giving yourself more career flexibility once you graduate, a double degree generally doesn’t take double the time to complete. In most instances, you’ll benefit from cross-crediting elective units, which will reduce your study costs and time compared to if you were studying separate bachelor degrees at different times. Usually, a double degree will take four years full-time study or part-time equivalent."
What is a Diploma?,"Completing a Diploma or Advanced Diploma certificate will give you practical skills for work as well as the opportunity to progress to another qualification. At Swinburne, you’ll be taught by experienced teachers and have access to equipment used in industry to help prepare you for your future."
What is a Commonwealth Supported Place?,"The Australian Government subsidizes an Australian citizen student’s education by giving them a Commonwealth supported place. By doing this they are paying part of the course fees directly to the university and the student pays the remainder. If you are a domestic undergraduate student, you are eligible for a Commonwealth supported place."
What is a Certificate?,"Certificates are the most basic qualification available to secondary school students and beyond. Offered by TAFEs, Community Education Centres, and Registered Training Providers, Certificates I, II, III, and IV will prepare you for employment or further education and training. Certificate I: Will give you skills when beginning a profession or help you gain community involvement. Certificate II: You’ll build on knowledge and skills to work in a defined context and undertake further learning. Certificate III: You’ll learn more in-depth theoretical and practical skills for work or further learning. Certificate IV: You’ll learn theoretical and practical skills for specialized work or further learning."
What is a Bachelor Degree?,"Bachelor degrees are offered by universities and are presented to you when you complete an undergraduate course of study. Depending on the field of study, the duration of the degree can range from three to five years of full-time study (or part-time equivalent). Most bachelor degrees are recognized worldwide. A Bachelor degree teaches you skills such as research and analytical thinking and is recognized as a higher qualification to diplomas or certificates. Where a Diploma will give you the skills you need for your job, a Bachelor will set you up for your career."
What happens if I don’t pay my fees on time?,"It is your responsibility to ensure that your enrollment is correct prior to the due date. If you do not pay your fees by the due date you may be canceled from your degree. If you withdraw from a unit after the due date you will receive a fail result on your student record. For TAFE students, your course won’t begin until you’ve paid your fees, or submitted your VET FEE-HELP form."
What devices will I need to complete my qualification?,These are the minimum technical requirements to study with Swinburne Online:  - Laptop or desktop computer - Speakers or headphones - Web camera - Microphone - For Mac: OSX version 10.7 - For PC: Windows 7 - Broadband internet connection with at least 30 GB data allowance per month (mobile dongles are not recommended).
"What are the main differences between online, on-campus, and distance education?","At Swinburne Online, our online education method just requires students to have access to a broadband connection! Students can log in to their online environment to access their course, whenever and wherever it is convenient for them. Traditional on-campus education requires students to attend lectures and tutorials at a venue at a given time. Distance education often requires a number of different communication modes and can sometimes involve the sending of printed material to a student’s residence."
What are the entry requirements for the Diploma of Nursing?,"To study a diploma with Swinburne Online, you need to meet the specific entry criteria for your course. Please ensure you meet the entry criteria for the Diploma of Nursing before you apply."
What are the entry requirements for TAFE Business courses?,"To study a diploma with Swinburne Online, you need to meet the specific entry criteria for your course. For our Business diplomas you must either hold a relevant Certificate IV, Year 12, or higher level qualification, or have at least two years of relevant work experience and have completed Year 10 Maths and English. If you haven’t completed Year 10 Maths and English complete an online application and our Course Consultants will be in touch to talk to you about your situation."
What are the benefits of acquiring a Tableau certification?,"Earning an industry certification is a powerful way to demonstrate and validate your competency to the market. Tableau certified professionals enjoy advanced career prospects, higher salaries, improved job security, greater confidence and proficiency in the workplace, and skill validation. Tableau certified professionals are also invited to enter the Tableau directory – a platform used by companies and prospective employers to find Tableau-accredited talent."
What are placements?,"When you study an education degree you complete practicum units that include theory and professional experience, also called a placement. Your placement will provide you with a real-life teaching experience at an early learning centre or primary school. This will give you the chance to apply the skills you’ve learnt online, build your confidence in the classroom, and gain invaluable industry experience."
What are exemptions?,"An exemption is a credit you are given by Swinburne Online for previous study or prior learning at another institute. If you are eligible for exemptions, it can mean that you can fast-track your degree or diploma and graduate sooner. To find out if you are eligible for any exemptions, speak to one of our Course Consultants."
What are electives and why do I need to study them?,"Electives are free choice units that must be completed to meet the requirements for most of our degrees. They are included in many of our courses to give students flexibility, in terms of how they complete their degree. Their inclusion in our courses allows students to explore other subjects of interest that may not be included in the core structure of their chosen degree."
What are core units?,"A core unit is a unit common to most degrees within a discipline. For example, all social science degrees at Swinburne Online share the same core units, regardless of which degree you are studying. Generally, core units are taken towards the start of your degree. For current students, more information can be found in the Study Resources section of our Student Portal."
Should I start studying now?,"Depending on your current situation, now might be the perfect time for you to start studying. If you are finding yourself with extra time that you would usually spend on commuting or weekly commitments and would like to use it constructively, view our range of courses today."
Is there fee or financial assistance for Postgraduate Degrees?,"According to studyassist.gov.au, Australian citizens or permanent residents (humanitarian visa) are eligible for FEE-HELP, providing they have not exceeded their FEE-HELP limit. To check your eligibility, visit the Australian Government Study Assist website."
Is there fee or financial assistance for international students?,International students are not eligible for any financial assistance from the Australian government.
Is there a graduation ceremony?,"As a student of Swinburne Online, you are eligible to participate in the Swinburne University of Technology graduation ceremony, which is held three times a year at the Melbourne Convention Centre. If you cannot make it to Melbourne, you can graduate in absentia and can opt to have your testamur (degree) posted to you."
Is now a good time to look at a career change?,"Following the impacts of COVID-19, there are likely to be many changes in different industries. This may spark an opportunity for you to begin a career in a new field. If you are finding yourself with extra time that you would usually spend on commuting or weekly commitments and would like to use it constructively, view our range of courses today. Starting or completing a course now will help put you ahead of the pack."
Is anyone eligible for a VSL?,No – VET Student Loans will not be approved for students who do not meet eligibility requirements.
Is an online qualification a real qualification?,"Yes, students of Swinburne Online graduate with the exact same qualification as a student at Swinburne University of Technology. Not only does your graduation certificate look exactly the same, your coursework will cover all the same topics – we just transpose the information and assessment tasks so that they are perfectly suited to an online classroom."
"If I have just completed Year 12, can I apply to enrol in your March intake (Teaching Period 1)?","No, recent Year 12 students must apply through VTAC for Swinburne courses for the March intake. However, you may apply for Swinburne Online’s July or November intakes."
If I have a VSL can I withdraw from my course?,"Yes. If you decide to discontinue your studies, you will need to formally withdraw from your course. To formally withdraw, please complete the self-service request form including: Your full name and student number, The course you’re enrolled in, Your intent to withdraw, Whether you paid your fees upfront or applied for VET FEE HELP or a VET Student Loan. Withdrawing before Census: To avoid incurring a VET FEE HELP or VET Student Loan debt (or to receive a full refund if you pay for your fees upfront) you must send your email to Swinburne Online on or before your Census date. We will inform you of your Census dates when you enrol. If you paid your fees upfront, Swinburne Online will send you a refund application form. Once this is processed you will receive a full refund within 10 business days. Withdrawing after Census: If you withdraw from your course after your Census date, you will be automatically charged for the units you enrolled in. You won’t be able to receive a refund. If you elected for VET FEE HELP or VET Student Loan, you will incur the debt."
"I’m studying a TAFE Business course, will I have to sit exams?",There are no exams for Swinburne Online’s TAFE Business courses.
"I’m studying a degree, will I have to sit exams?","Exam attendance is necessary for all of our courses, other than education courses, our Bachelor of Design (Communication Design), and some media studies units. Exams are taken at specified exam centre venues in capital cities around Australia. When students reside more than 100km from an exam centre, or have any condition that would prevent them from taking exams at exam centres, they can sit an online exam. All our international students will also be required to sit their exams online, at home using a personal computer. To find out more about exams, visit our assessments and exams page on the website."
"I’m interested in becoming a teacher. How will teaching placements work, given that your degrees are online?","Students studying our online education courses still have to complete placements like on-campus students. In order to register to teach, graduates must have completed at least 60 days of professional placement when studying at postgraduate level and at least 80 days at undergraduate level. Professional placements can be taken anywhere in Australia, in schools that use the Australian curriculum or early childhood settings that use the Early Years Learning Framework."
I'm not sure what to study. Who can help me?,"If you are unsure which qualification is most relevant to you, speak to a Course Consultant for some advice or see our Levels of Education FAQ section. Otherwise, you can submit an application form and one of our Course Consultants will be in touch."
I'm not sure if I meet the entry requirements but I want to study. What should I do?,"If you’re unsure about whether you’ll be eligible to study with Swinburne, it’s definitely worth calling our team of course consultants on 1300 069 765 or +61 3 9956 0777 if you are calling from overseas. The team will be able to outline which entry requirements are relevant to you and explain your next steps. Often students will be eligible for a range of courses on the basis of their work experience. It may be as simple as sending through an updated resume to get on track towards your qualification of choice."
"I currently work at an early childhood service, primary or secondary school, can I do my teaching placement at my workplace?",A placement may be able to be completed at your workplace depending on your course and circumstances. Please contact the Placements Team to discuss if this is an option for a particular placement in your course.
How will a credit for previous studies appear on my transcript?,"If you have credits or exemptions from previous study, it will appear on your academic transcript under ‘Other Results’. Please note there will be no grade or mark associated with these studies."
How much will my course cost?,"For domestic university students, estimates of your overall course cost can be found on our Course Fees page on the website. For international students, course fees can be found on their Course Fees and Scholarships page. These prices may vary slightly depending on which units you choose. For more information about individual unit costs, visit Swinburne University of Technology’s Higher education fees page. For information on how much your VET course will cost, visit our VET Fees page."
How many units can I undertake per teaching period?,"Within a teaching period, you have to do at least one unit to continue studying your degree. The maximum amount of units you can undertake in a teaching period is four units. If you need to take a teaching period off, you can look at deferring your course."
How many placements do I have to do?,"The number of placements you have to complete depends on your course: Bachelor of Education (Primary): 3 x 20 days, 1 x 21 days. Total: 81 days Bachelor of Education (Early Childhood Teaching): 4 x 20 days. Total: 80 days Bachelor of Education (Early Childhood and Primary): 3 x 20 days, 1 x 21 days, 1 x 10 days. Total: 91 days Master of Teaching (Primary): 3 x 20 days. Total: 60 days Master of Teaching (Secondary): 3 x 20 days. Total: 60 days"
How many hours of study per week are recommended per unit?,"For most undergraduate students, we recommend you allow eight hours of study a week per unit. For postgraduate education students (domestic only), we recommend 10 hours a week per unit and for postgraduate business students and undergraduate design students we recommend allowing 12 hours a week of study per unit."
How many alumni are there?,"Swinburne University has over 215,000 alumni in more than 140 countries around the world."
How long will my application take to be assessed?,"Our team of Course Consultants will normally get in touch with you within two working days of you submitting your application with an outcome, or to retrieve some further information. During busy periods this time frame can be a little longer. You are welcome to contact us if you’d like to follow up on an application that has exceeded this guideline."
How long will it take to earn my degree?,"The length of your degree will largely depend on how many units you undertake per teaching period. The number of units required to complete a degree varies from qualification to qualification and you can see how many units are required to complete a particular degree on our Course Pages. Alternatively, you can have a look at our Course Planners for more detailed information about how to manage a specific degree. As students have the option of studying between one and four units per teaching period and can change their study load throughout, each student will graduate at a different point. If you are studying a VET course, you can personalize your program, giving you the freedom to set your own goals, choose what units you study first, and determine how long you spend on each one. So whether you want to complete your diploma in two months or over a year — you can work towards your goals at a pace that suits you. It’s important to note that the number of study hours required for each diploma does change, and you can view the specific requirements on our VET course pages."
How long has Swinburne been around for?,Swinburne started as a technical college in 1909 and gained university status in 1992. Read the history of Swinburne.
How does your model of online study work for the Diploma of Nursing?,"All of your study will happen in Canvas. Canvas is the online platform where you’ll manage your course and receive study support from your Vocational Learning Advisors (VLAs). The Diploma of Nursing course is fast-paced, and you will need to find a work-life-study balance that suits your personal needs."
How does your model of online study work for TAFE?,"When you study a TAFE course with Swinburne Online, all of your study will happen in Canvas. Canvas is the online platform where you’ll manage your course and receive study support from teachers. You’ll be able to personalize your program, giving you the freedom to set your own goals, choose what units you study first, and determine how long you spend on each one. With the support of your Assessors and Lead Trainer, you can work towards your goals at a pace that suits you."
How does your model of online study work for higher education if there are no lectures?,"We know students are most successful when they learn actively. This means not just remembering new information but evaluating it and using it to solve problems and to come up with new ideas. Students at Swinburne Online learn with the three learning components: theory, practice, and sharing. You learn your theory through the free Learning Materials, put it into practice with weekly Learning Activities, and then share your learnings with other classmates in the Discussion Boards."
How does Swinburne University of Technology rate against other universities?,"For over 100 years, Swinburne has been committed to providing our students with the latest innovations in education. In recent years, Swinburne has become one of the world’s leading universities, ranking in the top 400 in the world, as assessed by the Academic Ranking of World Universities. This result places Swinburne among the top 2% of universities in the world. Swinburne has over 30,000 students enrolled worldwide, supported by 2,800 staff and an alumni network of over 90,000."
How does online study work?,"You can undertake our courses from anywhere with an internet connection, including the comfort of your own home during social isolation. Swinburne Online takes domestic students for both degrees and TAFE diplomas from anywhere in Australia. International students are also accepted for our degrees, although some differences in their payment processes will apply. You won’t normally have to be online at a specific time. Your course material is available for you from the beginning of each teaching period, and you can work through it in the hours that suit you. There are some live webinar sessions that run approximately once a month. These are a special opportunity for students to sign in at the same time as their tutors, normally before an assessment deadline. It gives you the chance to ask any questions relating to the assignment in real-time and hear other students’ questions and thoughts. We understand that students won’t always be able to make these sessions, so they can be replayed the next day."
How do I stay on track with my study?,"When studying a degree and you are struggling with motivation, time management, or simply need help with an assignment or some technical support, you can get in touch with our Student Advisors. Call 1300 937 765 from Australia, +61 3 9956 0777 for Australian citizens living overseas and 800 8001 1222 for international students, anytime between 9 am – 9 pm (AEST) Monday to Friday and 10 am – 6 pm (AEST) on weekends and public holidays – or fill out a Help Web Form to speak to one of our Student Advisors. If you’re enrolled in a TAFE course, you will have support in Canvas – your online learning environment. A dynamic live chat means you can find out who else is online at the same time as you and ask other students questions. There is also a discussion board where you can post questions that will be answered by a pool of industry-trained teachers, waiting to help you."
How do I repay my HELP loan?,"HECS-HELP, FEE-HELP, and VET FEE-HELP enable eligible students to state their intention for tuition fees to be paid on their behalf by the federal government to Swinburne Online. This results in students having a loan with the Australian Tax Office that can be repaid through the tax system. Repayments for HELP loans are not required until students are earning more than a certain amount per annum."
How do I apply to enrol in a degree or a diploma?,"Applying to study with Swinburne Online is simple, and one of our course consultants will be available to help you with any questions you have. Students wishing to study with us simply need to complete an application form. A course consultant will assess the application and give you prompt feedback, including any documentation required. If successful, they will then be able to finalize your application with you over the phone."
How do exams work?,"Exam attendance is necessary for all of our courses, other than education courses, our Bachelor of Design (Communication Design), and some media studies units. Exams are taken at specified exam center venues in capital cities around Australia. When students reside more than 100 km from an exam center or have any condition that would prevent them from taking exams at exam centers, they can sit an online exam. All our international students will also be required to sit their exams online, at home using a personal computer. To find out more about exams, visit our assessments and exams page."
How do assessments work?,"All of our assessment tasks and assignments at Swinburne Online are submitted online, so there is no need to worry about broken printers or assignments getting lost in the mail. If you are unable to submit your assessment on time, there are a number of options available to you, including extensions and special consideration. To find out more about assessments, visit our assessments page for university on the website. When you study a TAFE course with us, your assessment tasks will be highly practical – instantly improving your work performance and helping advance your career. You will find short assessment tasks featured throughout your learning journey such as quizzes, short answer responses, reflection, and short projects. Read more about TAFE assessments here."
How can I get in touch with other students?,"You can communicate with students using the discussion boards within your student portal, or via CONNECT, Swinburne Online’s very own social networking site. CONNECT is much like an online student lounge, where you can chat with students from across the whole of Swinburne Online. From discussing your course, reflecting on student life, creating face-to-face study groups with students in your local area and even networking for your future, CONNECT is your networking haven. If you’re studying a TAFE diploma you’ll have access to live chat within Canvas, which allows you to see who else is online at the same time as you and ask other students questions. You can also open up discussions with students and teachers by posting questions to an online discussion board."
